0,HFO,HFO CCS,LNG,LNG CCS,BIO,BIO,BIO,BIO,BIO,BIO,BIO,BIO,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3 COMB,NH3,NH3,NH3,NH3,NH3,NH3,NH3,MEOH,MEOH,MEOH,MEOH,MEOH,MEOH,MEOH,SF,SF,SF,SF,SF,LI-ION,URA,LH2,LH2,LH2,BIOD,BIOD,HVO,MDO,MDO CCS,FERM,FERM,FERM
,1,1,1,1,1a,1b,1c,1d,1e,1f,1g,2a,1,2,3,4a,4b,4c,4d,1,2,3,4a,4b,4c,4d,1,2,3,4a,4b,4c,4d,1a,1b,1c,2,3,1,1,1,2,3,1a,1b,1a,1,1,1a,1b,1c
Grid,798.0521028,425.1587399,638.0970754,343.601778,497.6167714,422.179552,422.179552,485.7642607,860.2075449,244.096541,623.8022714,1152.67811,1025.361264,605.4373175,755.8631035,-132.3701633,-234.293972,-414.8009658,-480.2137587,1068.08465,630.6638724,787.3573995,-137.8855868,-244.0562208,-432.0843394,-500.2226653,756.6992771,578.5088021,652.3626493,46.86138046,-42.85601124,-203.1405559,-154.3881097,518.6429289,367.7529769,226.081259,428.3654984,763.8785871,452.4415684,12.32810813,915.3620287,360.7340048,418.3814712,292.4563733,629.6446344,97.11955822,771.6322419,411.2308785,286.3591449,140.0345693,-36.42688844
,95.72413372,265.6344711,69.39999695,239.3103343,0,0,0,0,0,0,0,0,1545.94476,1545.94476,6298.859196,1883.141041,1883.141041,1883.141041,1883.141041,1610.359125,1610.359125,6561.311662,1961.605251,1961.605251,1961.605251,1961.605251,0,0,7159.030605,90.40612629,135.6091894,113.0076579,67.80459472,1023.5303,1036.453058,1048.418575,179.4827507,6365.654892,1356.091894,0,579.7292848,726.1872094,3486.51226,773.9296211,773.9296211,23.92642966,83.758617,253.6689544,-180.8122526,-180.8122526,-180.8122526
,0,0,0,0,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,0,0,0,6530.810922,6435.135529,7156.314511,6536.476246,0,0,0,6802.928044,6703.266176,7454.494282,6808.829423,0,0,0,5867.357596,5749.829632,6468.558336,5869.617749,6340.527307,4566.280489,6363.501099,0,0,0,0,0,0,0,2615.11154,4500.685526,2483.684788,0,0,7334.196995,6468.558336,7187.28704
,0.05743448,0.159380683,0.041639998,0.143586201,153.2307225,3198.32994,775.3527126,2976.496695,5326.362507,0,65.60676799,0,0.927566856,0.927566856,3.779315517,148.718832,3036.571172,819.4620185,64.37590539,0.966215475,0.966215475,3.936786997,154.91545,3163.094971,853.6062693,67.05823478,0,0,4.295418363,3458.088574,2328.039117,519.9030308,56.83427491,4004.993942,2162.072811,494.8048915,0.10768965,3.819392935,0.813655137,0,0.347837571,0.435712326,2.091907356,1330.311885,4921.642072,0.014355858,0.05025517,0.152201373,4271.58098,2576.466112,542.3282704
,112.4758571,198.7113361,170.7838201,257.019299,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,183.7167265,321.5861566,535.4030316,245.8045537,246.289014,297.157346,488.0347062,191.3715901,334.9855798,557.7114913,256.0464101,256.5510562,309.5389021,508.3694857,170.8675787,204.769876,608.5176015,48.36727757,52.43555325,90.74514926,237.2030739,351.4379949,312.0929828,358.5790153,350.2905018,828.253067,460.4548387,924.6081098,237.4347396,310.9077984,535.3647385,256.5143542,201.4729773,271.9231553,137.064994,223.3004729,298.7922474,294.949987,340.1530502
Solar,789.4369308,401.2516375,631.8510756,322.0638479,497.6167714,422.179552,422.179552,485.7642607,860.2075449,244.096541,623.8022714,1152.67811,886.2262356,466.3022892,188.9657759,-301.852857,-403.7766657,-584.2836595,-649.6964524,923.1523287,485.7315512,196.8393499,-314.4300593,-420.6006934,-608.6288119,-676.7671379,756.6992771,578.5088021,8.049894834,38.72482909,-55.06083829,-213.3112452,-160.4905232,426.5252019,274.4722017,131.7235873,412.2120508,190.9696468,330.3932979,12.32810813,863.1863931,295.377156,104.5953678,222.8027074,559.9909685,94.96617955,764.0939664,388.4006726,302.6322476,156.3076721,-20.1537857
,95.72413372,265.6344711,69.39999695,239.3103343,0,0,0,0,0,0,0,0,1545.94476,1545.94476,6298.859196,1883.141041,1883.141041,1883.141041,1883.141041,1610.359125,1610.359125,6561.311662,1961.605251,1961.605251,1961.605251,1961.605251,0,0,7159.030605,90.40612629,135.6091894,113.0076579,67.80459472,1023.5303,1036.453058,1048.418575,179.4827507,6365.654892,1356.091894,0,579.7292848,726.1872094,3486.51226,773.9296211,773.9296211,23.92642966,83.758617,253.6689544,-180.8122526,-180.8122526,-180.8122526
,0,0,0,0,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,6780.459472,0,0,0,6530.810922,6435.135529,7156.314511,6536.476246,0,0,0,6802.928044,6703.266176,7454.494282,6808.829423,0,0,0,5867.357596,5749.829632,6468.558336,5869.617749,6340.527307,4566.280489,6363.501099,0,0,0,0,0,0,0,2615.11154,4500.685526,2483.684788,0,0,7334.196995,6468.558336,7187.28704
,1.914482674,5.312689421,1.387999939,4.786206686,153.2307225,3198.32994,775.3527126,2976.496695,5326.362507,0,65.60676799,0,30.91889519,30.91889519,125.9771839,185.2517682,3073.104108,855.9949547,100.9088416,32.20718249,32.20718249,131.2262332,192.9705919,3201.150113,891.6614112,105.1133766,0,0,143.1806121,3459.842453,2330.669936,522.0953793,58.14968405,4024.85043,2182.180001,515.1442118,3.589655014,127.3130978,27.12183789,0,11.5945857,14.52374419,69.73024521,1345.32612,4936.656307,0.478528593,1.67517234,5.073379087,4268.073222,2572.958354,538.8205127
,107.402478,184.6327091,167.1056202,244.3358513,25.85768443,25.12608,65.24593077,333.9629292,202.4017753,315.9825773,237.5902241,23.93103343,101.7816543,239.6510844,201.5634943,145.9980785,146.4825388,197.3508709,388.2282311,106.0225565,249.6365462,209.9619732,152.0813318,152.5859779,205.5738238,404.4044074,170.8675787,204.769876,229.0889794,43.57575287,45.24826621,84.7557434,233.6094303,297.190889,257.1609708,303.0128308,340.777916,490.8733577,388.5819683,924.6081098,206.7090875,272.4198763,350.5795887,215.4960843,160.4547074,270.6550546,132.6257873,209.8560184,308.3752968,304.5330364,349.7360996
